anio,trimestre,provincia,tv_suscripcion_100habitantes,tv_suscripcion_100hogares
2020,1,Buenos Aires,16.9,51.27
2020,1,CABA,24.12,58.06
2020,1,Catamarca,9.5,37.33
2020,1,Chaco,9.54,35.7
2020,1,Chubut,10.95,35.73
2020,1,Córdoba,28.36,92.63
2020,1,Corrientes,9.85,37.41
2020,1,Entre Ríos,15.96,53.38
2020,1,Formosa,9.82,38.56
2020,1,Jujuy,12.71,49.72
2020,1,La Pampa,22.35,67.85
2020,1,La Rioja,4.81,18.08
2020,1,Mendoza,5.2,18.63
2020,1,Misiones,11.41,41.88
2020,1,Neuquén,11.85,39.8
2020,1,Río Negro,14.75,47.97
2020,1,Salta,13.19,54.45
2020,1,San Juan,3.89,15.28
2020,1,San Luis,9.41,32.9
2020,1,Santa Cruz,11.94,40.14
2020,1,Santa Fe,19.02,60.49
2020,1,Santiago Del Estero,9.12,36.76
2020,1,Tierra Del Fuego,24.12,81.36
2020,1,Tucumán,6.54,26.4
2020,2,Buenos Aires,16.63,50.34
2020,2,CABA,24,57.85
2020,2,Catamarca,9.69,38.08
2020,2,Chaco,9.77,36.56
2020,2,Chubut,10.37,33.84
2020,2,Córdoba,29.23,95.46
2020,2,Corrientes,9.96,37.81
2020,2,Entre Ríos,15.78,52.78
2020,2,Formosa,9.8,38.52
2020,2,Jujuy,12.69,49.64
2020,2,La Pampa,22.58,68.53
2020,2,La Rioja,4.91,18.44
2020,2,Mendoza,5.16,18.5
2020,2,Misiones,11.28,41.42
2020,2,Neuquén,11.97,40.23
2020,2,Río Negro,14.94,48.58
2020,2,Salta,14.24,58.79
2020,2,San Juan,4.24,16.66
2020,2,San Luis,9.04,31.59
2020,2,Santa Cruz,11.98,40.26
2020,2,Santa Fe,19.03,60.53
2020,2,Santiago Del Estero,9.22,37.14
2020,2,Tierra Del Fuego,24.22,81.69
2020,2,Tucumán,5.74,23.17
2020,3,Buenos Aires,16.8,50.73
2020,3,CABA,24.1,58.16
2020,3,Catamarca,9.8,38.54
2020,3,Chaco,9.94,37.19
2020,3,Chubut,10.61,34.61
2020,3,Córdoba,29.04,94.86
2020,3,Corrientes,10.16,38.59
2020,3,Entre Ríos,16.94,56.66
2020,3,Formosa,9.93,39.01
2020,3,Jujuy,14.15,55.33
2020,3,La Pampa,22.08,67.01
2020,3,La Rioja,4.99,18.74
2020,3,Mendoza,5.27,18.87
2020,3,Misiones,10.92,40.08
2020,3,Neuquén,12.05,40.47
2020,3,Río Negro,15.01,48.81
2020,3,Salta,14.28,58.97
2020,3,San Juan,4.3,16.89
2020,3,San Luis,8.99,31.41
2020,3,Santa Cruz,12.14,40.8
2020,3,Santa Fe,19.49,61.98
2020,3,Santiago Del Estero,9.35,37.66
2020,3,Tierra Del Fuego,24.35,82.13
2020,3,Tucumán,6.48,26.18
2020,4,Buenos Aires,16.88,50.85
2020,4,CABA,24.62,59.48
2020,4,Catamarca,10.1,39.7
2020,4,Chaco,9.76,36.51
2020,4,Chubut,11.75,38.34
2020,4,Córdoba,28.42,92.81
2020,4,Corrientes,9.94,37.77
2020,4,Entre Ríos,15.55,52.01
2020,4,Formosa,9.81,38.56
2020,4,Jujuy,14.17,55.4
2020,4,La Pampa,22.11,67.11
2020,4,La Rioja,5.99,22.5
2020,4,Mendoza,5.33,19.09
2020,4,Misiones,10.93,40.12
2020,4,Neuquén,11.91,40
2020,4,Río Negro,14.84,48.23
2020,4,Salta,14.24,58.78
2020,4,San Juan,4.3,16.89
2020,4,San Luis,8.96,31.32
2020,4,Santa Cruz,12,40.33
2020,4,Santa Fe,19.3,61.38
2020,4,Santiago Del Estero,9.4,37.87
2020,4,Tierra Del Fuego,24.22,81.71
2020,4,Tucumán,6.52,26.34
2021,1,Buenos Aires,16.57,49.78
2021,1,CABA,24.07,58.22
2021,1,Catamarca,10.23,40.24
2021,1,Chaco,9.76,36.52
2021,1,Chubut,11.69,38.13
2021,1,Córdoba,28.67,93.65
2021,1,Corrientes,10.03,38.1
2021,1,Entre Ríos,15.89,53.16
2021,1,Formosa,9.94,39.06
2021,1,Jujuy,13.76,53.82
2021,1,La Pampa,22.22,67.45
2021,1,La Rioja,4.96,18.62
2021,1,Mendoza,5.3,18.99
2021,1,Misiones,10.87,39.92
2021,1,Neuquén,11.7,39.29
2021,1,Río Negro,14.68,47.74
2021,1,Salta,14.2,58.63
2021,1,San Juan,4.31,16.93
